Date,"Short-term visitor arrivals, ACT ('000)","Short-term visitor arrivals, NT ('000)","Short-term visitor arrivals, Tas. ('000)","Short-term visitor arrivals, WA ('000)","Short-term visitor arrivals, SA ('000)","Short-term visitor arrivals, Qld ('000)","Short-term visitor arrivals, Vic. ('000)","Short-term visitor arrivals, NSW ('000)"
Jan 2013,5.69,4.80,4.76,55.13,15.23,102.45,111.75,188.87
Feb 2013,8.17,4.71,7.27,63.90,19.84,128.25,146.41,238.43
Mar 2013,5.01,6.22,4.54,65.89,18.75,127.57,139.93,220.95
Apr 2013,4.42,9.19,2.71,50.83,13.66,103.84,100.11,176.77
May 2013,4.16,6.33,2.34,44.58,10.07,100.58,90.68,154.60
Jun 2013,4.51,7.24,1.62,46.09,9.86,123.83,93.30,161.07
Jul 2013,7.24,7.94,2.25,46.77,14.40,154.76,109.52,188.04
Aug 2013,4.78,10.72,2.03,53.62,13.14,142.02,112.65,190.37
Sep 2013,5.41,7.78,2.14,54.41,13.34,126.13,103.72,180.97
Oct 2013,5.35,6.49,3.02,57.51,15.15,137.04,112.37,205.82
Nov 2013,5.14,4.70,3.92,63.20,20.15,124.01,133.04,223.96
Dec 2013,7.69,4.76,7.46,89.80,27.70,155.14,189.17,308.03
Jan 2014,5.37,4.53,4.90,59.80,19.38,110.45,132.12,225.95
Feb 2014,8.28,4.55,5.59,67.45,22.87,121.48,145.94,261.47
Mar 2014,4.56,5.48,3.76,65.92,20.61,121.09,141.52,237.87
Apr 2014,4.28,10.83,3.23,59.14,17.09,114.32,116.16,203.49
May 2014,4.36,6.76,2.27,48.14,14.05,105.52,111.45,180.32
Jun 2014,4.22,8.07,1.50,49.33,13.30,114.40,101.00,166.08
Jul 2014,6.39,12.14,2.21,56.76,17.50,158.60,134.70,201.34
Aug 2014,5.00,10.35,2.14,50.66,14.32,147.50,116.81,194.12
Sep 2014,5.03,8.58,1.93,60.00,15.18,132.02,110.73,188.28
Oct 2014,6.52,8.49,3.80,62.42,17.47,145.29,132.11,210.56
Nov 2014,6.39,7.68,6.02,67.35,17.98,127.14,145.42,233.18
Dec 2014,9.04,4.48,9.01,88.74,27.97,162.02,195.61,314.94
Jan 2015,5.98,3.96,4.96,55.37,18.48,106.81,137.52,214.35
Feb 2015,9.27,5.25,7.06,71.60,25.26,136.82,189.01,281.79
Mar 2015,6.52,5.54,4.78,69.95,21.43,133.50,172.42,265.09
Apr 2015,4.80,11.09,2.95,59.80,17.51,118.72,129.15,206.13
May 2015,4.26,5.69,2.40,49.06,12.42,111.29,114.57,185.95
Jun 2015,4.91,13.62,2.31,50.79,10.27,120.41,113.94,171.90
Jul 2015,7.90,12.13,3.32,58.88,16.93,174.46,140.42,214.22
Aug 2015,4.74,8.21,2.64,55.36,13.73,146.49,129.56,213.40
Sep 2015,4.98,6.98,2.91,62.75,13.79,146.07,130.30,204.23
Oct 2015,6.10,6.69,3.95,62.47,15.97,151.54,152.62,226.46
Nov 2015,6.32,5.83,6.06,73.05,17.85,141.97,169.38,251.08
Dec 2015,7.75,4.06,9.24,94.76,27.09,176.14,231.93,350.33
Jan 2016,5.18,3.59,5.55,55.79,16.53,123.61,162.40,245.02
Feb 2016,8.98,4.70,7.61,81.07,22.59,148.24,209.12,316.29
Mar 2016,7.59,5.27,5.40,78.12,21.54,153.12,187.65,298.66
Apr 2016,5.72,8.27,3.50,63.20,15.61,131.91,146.96,235.32
May 2016,4.05,5.53,2.83,56.60,12.29,122.98,132.47,204.52
Jun 2016,4.51,6.12,3.16,57.63,12.42,136.35,134.94,199.94
Jul 2016,8.79,13.54,4.16,67.73,19.64,184.90,168.99,248.04
Aug 2016,4.21,9.47,3.12,59.17,14.39,161.53,147.17,233.07
Sep 2016,5.95,8.44,3.31,72.19,16.83,163.71,145.18,231.42
Oct 2016,6.77,7.20,4.22,71.47,17.82,169.25,169.77,249.41
Nov 2016,6.69,5.44,6.90,77.78,18.31,145.22,181.35,280.13
Dec 2016,9.81,5.96,10.76,103.40,29.22,185.36,254.12,377.47
Jan 2017,6.62,4.08,7.09,63.79,20.23,133.54,190.76,297.84
Feb 2017,10.34,6.62,7.44,75.65,25.05,141.68,206.91,313.88
Mar 2017,6.86,5.67,6.02,78.24,22.41,152.56,194.86,305.54
Apr 2017,7.17,8.15,4.70,71.03,17.44,144.47,171.09,275.91
May 2017,4.39,7.28,3.45,58.99,13.02,128.36,140.71,222.86
Jun 2017,6.61,9.84,3.89,61.40,14.08,139.92,148.84,221.40
Jul 2017,10.62,10.02,5.43,61.46,20.69,194.86,173.80,269.51
Aug 2017,7.43,8.96,4.70,64.73,17.85,172.14,170.04,257.00
Sep 2017,7.46,8.25,4.92,64.72,20.55,158.14,151.83,247.69
Oct 2017,7.33,8.19,6.33,71.83,20.19,171.11,177.21,279.16
