National Visitor Survey Results,,,,,,,,,,,,,,,,,,,,,,,
Updated September 2022,,,,,,,,,,,,,,,,,,,,,,,
"Overnight trips, nights and average stay by residents:
- by accommodation type
- by capital city / rest of state
For year ending Year Ending June 2000 to year ending Year Ending June 2022",,,,,,,,,,,,,,,,,,,,,,,
"IMPORTANT NOTE: TRA has revised the estimates for 2014 and 2015 data.  
For more information see https://www.tra.gov.au/Research/Domestic-tourism-by-Australians/National-Visitor-Survey-results ",,,,,,,,,,,,,,,,,,,,,,,
"Due to a change in methodology in 2014, comparisons between data from 2014 and onwards to earlier periods should be treated with caution.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,
Overnight trips ('000),Year ending June 2000,Year ending June 2001,Year ending June 2002,Year ending June 2003,Year ending June 2004,Year ending June 2005,Year ending June 2006,Year ending June 2007,Year ending June 2008,Year ending June 2009,Year ending June 2010,Year ending June 2011,Year ending June 2012,Year ending June 2013,Year ending June 2014,Year ending June 2015,Year ending June 2016,Year ending June 2017,Year ending June 2018,Year ending June 2019,Year ending June 2020,Year ending June 2021,Year ending June 2022
     Sydney,"7,844","8,636","8,189","8,338","7,996","7,404","7,679","7,565","7,660","7,190","6,925","7,910","7,697","7,707","8,424","8,620","8,878","9,455","10,532","11,968","9,618","6,518","6,417"
     Other NSW,"18,699","18,724","19,380","19,753","19,298","18,027","17,255","17,605","17,374","16,244","16,877","17,419","17,210","17,972","18,463","19,228","20,401","21,369","23,863","26,081","21,416","24,255","19,024"
Total NSW,"25,798","26,645","26,853","27,275","26,411","24,689","24,269","24,653","24,440","22,862","23,270","24,666","24,270","25,021","26,237","27,158","28,524","30,154","33,667","37,237","30,312","30,155","24,887"
     Melbourne,"5,764","6,345","6,151","6,428","6,078","5,957","6,548","6,207","6,666","6,487","6,470","6,723","6,854","7,050","7,537","7,942","8,200","8,746","9,825","11,045","8,413","3,769","5,400"
     Other VIC,"11,690","12,294","12,331","12,472","12,315","11,661","11,278","11,271","11,513","10,296","10,566","10,822","11,590","11,375","12,337","12,830","13,635","15,323","16,460","18,725","14,829","13,194","14,894"
Total VIC,"16,976","18,161","17,983","18,291","17,840","17,165","17,324","17,017","17,614","16,293","16,483","17,068","17,929","17,935","19,249","20,184","21,233","23,376","25,517","29,047","22,701","16,611","19,861"
     Brisbane,"4,423","4,576","4,570","4,638","4,867","4,798","4,711","4,811","4,863","4,846","4,481","5,429","5,126","5,217","5,541","5,958","6,002","6,680","7,049","7,656","6,313","5,622","5,839"
     Other QLD,"12,294","11,979","12,421","12,754","12,354","13,016","12,558","13,573","13,315","12,169","12,252","11,908","13,544","13,403","13,536","14,545","14,845","15,317","16,244","18,405","14,815","15,784","16,582"
Total QLD,"16,103","15,881","16,247","16,574","16,492","17,088","16,638","17,819","17,607","16,465","16,107","16,745","17,973","17,958","18,522","19,957","20,205","21,279","22,560","25,312","20,421","20,758","21,709"
     Adelaide,"2,326","2,324","2,396","2,166","2,406","2,190","2,231","2,283","2,221","2,109","2,189","2,105","2,127","2,160","2,420","2,439","2,648","2,673","2,860","3,219","2,643","1,977","2,085"
     Other SA,"3,485","3,603","3,440","3,545","3,706","3,351","3,334","3,274","3,320","3,003","2,969","3,152","3,240","3,311","3,332","3,666","3,776","3,752","4,045","4,544","4,190","4,679","4,216"
Total SA,"5,547","5,653","5,549","5,424","5,802","5,295","5,278","5,352","5,282","4,879","4,891","5,018","5,101","5,220","5,463","5,809","6,128","6,144","6,599","7,404","6,545","6,351","6,011"
