,Year ending June 2000,Year ending June 2001,Year ending June 2002,Year ending June 2003,Year ending June 2004,Year ending June 2005,Year ending June 2006,Year ending June 2007,Year ending June 2008,Year ending June 2009,Year ending June 2010,Year ending June 2011,Year ending June 2012,Year ending June 2013,Year ending June 2014,Year ending June 2015,Year ending June 2016,Year ending June 2017,Year ending June 2018,Year ending June 2019,Year ending June 2020,Year ending June 2021,Year ending June 2022
Sydney,3.1,3.4,2.9,2.8,2.8,2.8,3,2.9,2.9,2.8,2.8,2.8,2.9,2.7,2.7,2.7,2.6,2.8,2.7,2.7,2.9,3.1,2.9
OtherNSW,3.6,3.5,3.3,3.5,3.4,3.7,3.5,3.6,3.5,3.6,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.2,3.2,3.3,3.4,3.5
TotalNSW,3.5,3.5,3.3,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.2,3.2,3.1,3.1,3.3,3.4,3.4
Melbourne,3.1,3,3.2,3.2,3.1,3,3,2.9,2.9,3,2.9,2.8,2.8,2.9,2.8,2.8,2.9,2.7,2.8,2.7,2.8,3.2,3.2
OtherVIC,2.9,2.9,2.9,2.9,3,3,2.9,3.1,3,3,3.1,3,3,3.1,3,2.9,2.9,2.8,2.8,2.7,3,3.2,3
TotalVIC,3.1,3,3.1,3.1,3.1,3,3.1,3.1,3,3.1,3.1,3.1,3,3.1,3,2.9,2.9,2.9,2.9,2.8,3,3.2,3.1
Brisbane,3.6,3.5,3.5,3.9,3.5,3.4,3.3,3.3,3.2,3.3,3.2,3.2,3.1,3,3,3.1,3,2.9,3,2.9,2.9,3,3.1
OtherQLD,4.9,4.8,4.7,4.8,4.9,4.8,4.7,4.5,4.7,4.4,4.7,4.4,4.4,4.4,4.3,4.1,4.1,4.1,4.3,4.2,4.3,4.2,4.2
TotalQLD,4.7,4.6,4.6,4.8,4.7,4.6,4.5,4.3,4.4,4.2,4.5,4.2,4.2,4.2,4,3.9,3.9,3.9,4,4,4,4,4.1
Adelaide,3.8,3.4,3.6,3.9,3.5,3.8,3.4,3.5,3.6,3.5,3.7,3.4,3.2,3.3,3.6,3.1,3.2,3.1,3.4,3.2,3.2,3.8,3.4
OtherSA,3.3,3.4,3.2,3.7,3.6,3.4,3.5,3.4,3.3,3.7,3.5,3.6,3.7,3.5,3.3,3.5,3.5,3.5,3.6,3.6,3.3,3.6,3.5
TotalSA,3.7,3.6,3.5,4,3.7,3.7,3.7,3.5,3.6,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.7,3.6,3.4,3.8,3.6
ExperiencePerth,4,3.6,3.4,3.4,3.7,3.9,3.9,3.8,3.7,4,3.8,3.6,3.7,3.8,3.7,3.4,3.5,3.4,3.3,3.4,3.4,3.6,3.1
OtherWA,4.9,4.8,4.7,4.8,5,5.3,4.5,5.1,5.5,4.7,4.7,4.9,4.7,4.8,5,4.9,5,4.8,4.8,4.9,5.3,5,5.2
TotalWA,4.7,4.4,4.3,4.4,4.7,5,4.4,4.8,4.9,4.6,4.5,4.5,4.5,4.5,4.7,4.4,4.6,4.5,4.3,4.4,4.7,4.7,4.6
HobartandtheSouth,3.6,3.7,4,4.1,4,3.6,3.9,4.2,3.8,4,4,3.7,4.2,3.6,3.7,3.5,3.7,3.7,3.4,3.6,3.9,3.8,3.4
OtherTAS,3.8,4,3.6,4.2,4.2,3.7,4.1,4,4.1,3.9,4,3.9,3.7,3.7,4.1,3.8,4,3.7,3.9,3.6,4.1,3.6,3.5
TotalTAS,4.2,4.5,4.3,4.7,4.8,4.3,4.7,4.6,4.5,4.5,4.6,4.2,4.4,4,4.4,4.1,4.4,4.1,4.1,4,4.6,4.1,3.9
Darwin,5.9,5.9,5.1,7.1,6.2,5.7,5.5,7.1,5.7,5.4,6,5.5,6.1,5.1,4.8,5.6,5.3,6,6,5.4,5.6,4.9,6.6
OtherNT,6.1,5.6,6,5.8,5.2,4.8,5.4,5.4,5.3,5.3,5.2,5.3,5.1,5.9,4.3,5.2,5.5,4.8,5.8,4.6,4.6,4.9,5
TotalNT,7,6.6,6.6,7.2,6.4,6.1,6.4,6.9,6.2,6.1,6.3,6.3,6.2,6.2,5,6.2,5.9,5.9,6.6,5.5,5.5,5.4,6.4
ACT,3.2,2.7,2.8,2.7,2.7,2.7,2.8,3.2,2.7,2.6,2.8,2.7,2.7,3,2.5,2.8,2.5,2.5,2.6,2.6,3,2.7,3
TotalCapitals,3.5,3.5,3.3,3.4,3.3,3.3,3.3,3.4,3.2,3.3,3.3,3.1,3.2,3.1,3.1,3.1,3,3,3,3,3.1,3.3,3.2
TotalRegional/Other,4,3.9,3.8,4,4,4.1,3.9,4,4,3.9,4,3.9,3.9,3.9,3.8,3.7,3.8,3.7,3.7,3.6,3.8,3.8,3.8
Total,4,4,3.8,4,4,4,3.9,3.9,3.9,3.8,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.7,3.8,3.8
