,19,Trips ('000)(a),Change,Change,Nights ('000),Nights ('000),Change,Change,Spend ($ mill),Spend ($ mill),Change,Change,
Destination Perth,469,264,-205,-44,"2,319",874,"-1,445",-62,489,185,-304,-62,Jan
Destination Perth,348,175,-173,-50,"1,079",405,-674,-62,296,94,-202,-68,Feb
Destination Perth,377,314,-63,-17,909,898,-11,-1,280,272,-8,-3,Mar
Destination Perth,421,341,-79,-19,"1,749","1,108",-641,-37,386,377,-9,-2,Apr
Destination Perth,410,406,-4,-1,"1,058","1,208",151,14,295,423,128,43,May
Destination Perth,383,331,-51,-13,"1,251","1,329",78,6,289,426,137,48,Jun
Destination Perth,411,367,-44,-11,"1,672","1,261",-411,-25,376,374,-2,-1,Jul
Destination Perth,377,384,7,2,"1,326","1,293",-33,-2,344,351,8,2,Aug
Destination Perth,388,389,1,0,"1,223","1,131",-92,-7,310,444,134,43,Sep
Destination Perth,382,453,71,19,"1,089","1,538",449,41,333,563,229,69,Oct
